,Ticker,Date,Time,Title,Score
27,AMZN,2024-10-18,08:30AM,Is Amazon Stock A Buy With Third Quarter Results Due Soon?,0.1779
28,AMZN,2024-10-18,08:24AM,Amazon cloud boss says employees unhappy with 5-day office mandate can leave,-0.3182
29,AMZN,2024-10-18,08:05AM,"Amazon boss tells workers if they don't want to work in office, they can quit",0.1225
30,AMZN,2024-10-18,07:00AM,Amazon boss has a brutal response to staffers who dont like 5-day RTO mandate: Leave,-0.6917
31,AMZN,2024-10-18,06:01AM,The next big AI trade could be nuclear power: Morning Brief,0.0
33,AMZN,2024-10-18,05:59AM,Amazon and Alphabet: Pivotal Chooses the Best Magnificent 7 Stocks to Buy,0.8689
34,AMZN,2024-10-18,05:45AM,3 Reasons to Buy Kids' Clothing at Costco,0.0
35,AMZN,2024-10-18,02:17AM,South African click-and-collect firm Pargo considers continent-wide expansion,0.0
36,AMZN,2024-10-17,06:35PM,"Is Amazon.com, Inc. (AMZN) the Most Promising Long-Term Stocks According to Hedge Funds?",0.4576
37,AMZN,2024-10-17,05:46PM,Major recall hits Amazon and Walmart as 300 ready-to-eat meals pose listeria risk. Here are 15 items on the list,-0.1027
38,AMZN,2024-10-17,05:23PM,Don't Chase This Uranium Breakout,0.0
39,AMZN,2024-10-17,05:21PM,Amazon AWS CEO: Quit if you don't want to return to office,0.1225
40,AMZN,2024-10-17,04:01PM,Amazon.com to Webcast Third Quarter 2024 Financial Results Conference Call,0.0
41,AMZN,2024-10-17,02:28PM,Expect heavy promotions this holiday shopping season: Analyst,0.481
42,AMZN,2024-10-17,02:25PM,Wall Street Debates Costs Of Amazon's Starlink Competitor. What Is Project Kuiper?,0.0
43,AMZN,2024-10-17,01:55PM,"Jobless claims, homebuilder confidence, retail outlook: Wealth!",0.7777
44,AMZN,2024-10-17,01:13PM,"Amazon Invests $500 Million in Nuclear Energy, Boosting Green Commitments",0.6908
45,AMZN,2024-10-17,01:12PM,"Amazon, Google Join Nuclear Power Push, Triggering Market Surge",0.4404
46,AMZN,2024-10-17,12:22PM,Amazon Says New Nvidia-Based Systems Wont Be Online Until 2025,0.1779
47,AMZN,2024-10-17,12:04PM,Amazon Prime Video taps former NBC anchor Williams for special election day coverage,0.5267
48,AMZN,2024-10-17,12:00PM,Brian Williams to Host Live Election-Night Special on Amazon Prime Video,0.5267
49,AMZN,2024-10-17,11:27AM,What's Going On With NuScale Power Stock on Thursday?,0.0
50,AMZN,2024-10-17,11:21AM,Consumers Have Economists Optimistic About Third-Quarter Growth,0.5994
51,AMZN,2024-10-17,11:11AM,Danger to children: Amazon among online marketplaces selling unsafe toys in Europe,-0.4019
52,AMZN,2024-10-17,10:07AM,Billionaire Philippe Laffont Continues to Buy This Artificial Intelligence (AI) Semiconductor Company (Hint: Not Nvidia),0.4767
53,AMZN,2024-10-17,09:54AM,First US auction of nature-based carbon credits scheduled for early 2025,0.3612
54,AMZN,2024-10-17,08:15AM,What Is Project Kuiper? Analysts Debate Bull And Bear Case For Amazon's Satellite Internet Push,0.0
55,AMZN,2024-10-17,08:11AM,"EXCLUSIVE: Walmart, Target convert Prime Big Deal Days traffic",0.3034
56,AMZN,2024-10-17,06:05AM,The AI stock surge signals investors will be patient for profit: Morning Brief,0.4404
57,AMZN,2024-10-17,05:50AM,Billionaire Ken Griffin's Top 3 Artificial Intelligence (AI) Stocks: Are They Buys Now?,0.5994
58,AMZN,2024-10-17,05:36AM,"Meet The Low-Cost Vanguard ETF That Has 20% Of Its Holdings in Nvidia, Broadcom, and AMD",0.0
59,AMZN,2024-10-17,05:30AM,Ulta Beautys New Chapter: Aging Gracefully,0.5267
60,AMZN,2024-10-17,04:45AM,Amazon's Latest Healthcare Move Could Be a Big Problem for Walgreens and CVS,-0.4019
61,AMZN,2024-10-17,04:35AM,Billionaires Are Buying Up This Millionaire-Maker Stock,0.0
62,AMZN,2024-10-17,03:50AM,"Amazon.com, Inc. (AMZN): Most Promising Future Stock According to Analysts",0.4576
63,AMZN,2024-10-16,07:33PM,Amazon doubles down on nuclear energy with deal for small reactors,0.4215
64,AMZN,2024-10-16,07:17PM,Amazon takes surprising tactic to solve a growing problem,0.3818
65,AMZN,2024-10-16,06:53PM,"Election cybersecurity, AI in healthcare: Asking for a Trend",0.0
66,AMZN,2024-10-16,06:11PM,These Mag 7 giants continue to invest even more in AI: Chart,0.0
67,AMZN,2024-10-16,05:09PM,Amazon invests $500M to go nuclear after Microsoft and Google,0.1779
68,AMZN,2024-10-16,04:13PM,"Amazon Goes Nuclear, Sending IBD's Stock Of The Day Skyward",0.1779
69,AMZN,2024-10-16,03:50PM,AWS CEO on Amazon's $500 million small modular reactors investment,0.0
70,AMZN,2024-10-16,03:45PM,Nvidia is set to dominate another Big Tech earnings season,-0.128
71,AMZN,2024-10-16,03:36PM,"Jim Cramer on Amazon, Inc. (AMZN): I Think The Company Simply Has Too Many Levers, Including The Incredible Growth For The Amazon Web Services",0.6124
72,AMZN,2024-10-16,02:45PM,How to gain 'Magnificent Seven' exposure through ETFs,0.8074
73,AMZN,2024-10-16,02:40PM,"Amazon, Google tap into nuclear power to fuel data centers and AI push",0.1779
74,AMZN,2024-10-16,02:31PM,Amazon Joins Big Techs Foray Into Nuclear Power,0.1779
75,AMZN,2024-10-16,02:22PM,The Future of Cars and Search,0.0
76,AMZN,2024-10-16,01:14PM,"Amazon Launches New Kindles, Including First Color, AI Models",0.1779
77,AMZN,2024-10-16,01:05PM,This Week in AI: AWS loses a top AI exec,-0.128
78,AMZN,2024-10-16,12:45PM,Why NuScale Power Stock Soared to an All-Time High Today,0.0
79,AMZN,2024-10-16,12:20PM,Amazon Nuclear Bet Looks Like a Game-Changer,0.4939
80,AMZN,2024-10-16,12:09PM,Why Is Nano Nuclear Energy Stock Gaining Today?,0.5994
81,AMZN,2024-10-16,12:07PM,"Amazon signs nuclear power deals, following Google, Microsoft",0.1779
82,AMZN,2024-10-16,12:05PM,Amazon is joining Google and Microsoft in going big on nuclear power,0.1779
83,AMZN,2024-10-16,11:48AM,Amazon Adds to Big Tech's Nuclear Push,0.1779
84,AMZN,2024-10-16,11:32AM,Amazon to power electric vans with mini-nuclear reactors,0.1779
85,AMZN,2024-10-16,11:21AM,Amazon Continues Push to Add More Nuclear Energy With 2 New Deals,0.4728
86,AMZN,2024-10-16,11:14AM,Amazon Web Services invests more than $500 million on nuclear energy projects in Virginia,0.4215
87,AMZN,2024-10-16,10:47AM,"Ken Griffin, Amazon Invest in Next-Generation Nuclear Energy",0.4215
88,AMZN,2024-10-16,10:45AM,"Amazon Announces Kindle Colorsoft, Updates Other Models as Competition Heats Up",0.1779
89,AMZN,2024-10-16,10:42AM,Amazon just made a big change to the Kindle,0.1779
90,AMZN,2024-10-16,10:41AM,Amazon investing more than $500 million to develop nuclear energy,0.4215
91,AMZN,2024-10-16,10:31AM,"Amazon's New Kindle Lineup Includes AI-Powered Notebook, First Color Screen",0.0
92,AMZN,2024-10-16,10:15AM,Prediction: This Will Be the Best Stock in the Dow Jones Next Year,0.6369
93,AMZN,2024-10-16,09:49AM,"Amazon goes nuclear, to invest more than $500 million to develop small module reactors",0.1779
94,AMZN,2024-10-16,09:37AM,3 Tenacious Stocks That Could Make You a Millionaire,0.0
95,AMZN,2024-10-16,09:23AM,"Amazon Launches Entirely New Kindle Lineup, Including Reimagined Kindle Scribe and First-Ever Color Kindle",0.1779
96,AMZN,2024-10-16,08:31AM,Q3 2024 Omnicom Group Inc Earnings Call,0.0
97,AMZN,2024-10-16,08:15AM,Whole cacao business Blue Stripes bags more funding,0.0
98,AMZN,2024-10-16,07:31AM,Prediction: This Will Be Wall Street's First $5 Trillion Stock,0.0
99,AMZN,2024-10-16,05:30AM,Nvidia Will Dominate Big Techs Earnings Season Again,-0.128
100,AMZN,2024-10-16,05:20AM,3 Reasons to Buy Amazon Stock Like There's No Tomorrow,0.25
101,AMZN,2024-10-16,05:15AM,Stock-Split Watch: 3 Unbeatable Tech Stocks That Look Ready to Split,0.3612
102,AMZN,2024-10-15,04:38PM,"Amazon launches AI tools, new capabilities for advertisers",0.1779
103,GOOG,2024-10-19,05:50PM,Here's Why Uranium Energy Corp Stock Soared This Week,0.2732
104,GOOG,2024-10-19,12:00PM,Where to Find the Next Big Market Gains,0.34
105,GOOG,2024-10-19,09:15AM,"Nvidia to win the race to $4 trillion market cap, experts say",0.5859
106,GOOG,2024-10-19,07:00AM,Is Broadcom a Top Artificial Intelligence (AI) Stock to Buy Right Now?,0.5994
107,GOOG,2024-10-18,05:17PM,Eric Schmidt's SandboxAQ aims for $5B valuation for its AI/quantum Google moonshot,0.0
109,GOOG,2024-10-18,05:01PM,"Meet the Unstoppable Stock That Could Join Apple, Nvidia, Microsoft, Alphabet, Amazon, Meta, and Taiwan Semiconductor Manufacturing in the $1 Trillion Club by 2035",0.2732
110,GOOG,2024-10-18,04:24PM,Judge Temporarily Stays Google-Epic Decision,0.0
111,GOOG,2024-10-18,04:23PM,Google Appoints Prabhakar Raghavan as Chief Technologist Amid Leadership Changes,0.0
112,GOOG,2024-10-18,04:21PM,Nuclear Energy Is Making a Comeback. A New Batch of Stocks to Play the Trend.,0.5423
113,GOOG,2024-10-18,04:20PM,Nuclear-energy ETFs surge as uranium prices remain rangebound. Is now a good time to invest?,0.4404
114,GOOG,2024-10-18,03:58PM,Judge grants Google's request to temporarily pause app store injunction,0.2263
115,GOOG,2024-10-18,03:53PM,Google provides new AI-based shopping research features,0.0
116,GOOG,2024-10-18,03:20PM,Judge delays order in antitrust case requiring Google to open up its app store,0.0
117,GOOG,2024-10-18,02:58PM,Google granted request to pause order on Play store overhaul,0.5267
118,GOOG,2024-10-18,02:58PM,Google reorganization puts AI in the spotlight,0.0
120,GOOG,2024-10-18,02:36PM,"One of the largest solar projects in the US opens in Texas, backed by Google",0.0258
121,GOOG,2024-10-18,01:30PM,Nvidia to be the first company to hit $4T market cap: Lumida CEO,0.0
122,GOOG,2024-10-18,12:58PM,Google's internal reorganization puts AI in forefront,0.0
123,GOOG,2024-10-18,12:56PM,Why NuScale Power Shares Popped 55% This Week,0.296
124,GOOG,2024-10-18,12:51PM,Exclusive: Waymo engineering exec discusses self-driving AI models that will power the cars into new cities,0.128
125,GOOG,2024-10-18,12:51PM,Nuclear Energy Deals Are Back. These Stocks Are Benefiting.,0.2732
126,GOOG,2024-10-18,11:07AM,2 Important Takeaways From Netflix's Robust Report,0.4939
127,GOOG,2024-10-18,11:03AM,Google licences diabetic retinopathy AI model to partners in APAC,0.0
128,GOOG,2024-10-18,10:02AM,Robotaxi Flop Leaves Teslas Lofty Stock Multiple Looking Shaky,-0.5106
129,GOOG,2024-10-18,09:52AM,Is Alphabet Inc. (GOOGL) A Good Stock to Buy Right Now?,0.4404
130,GOOG,2024-10-18,09:12AM,Big Tech Earnings Are Coming. How to Play Microsoft and Alphabet Stock.,0.34
131,GOOG,2024-10-18,09:07AM,Teslas self-driving cars investigated over safety in fog and bright sunlight,0.6908
132,GOOG,2024-10-18,09:00AM,Alphabet Inc. (GOOG) Is a Trending Stock: Facts to Know Before Betting on It,0.0
133,GOOG,2024-10-18,06:51AM,Netflix Is Winning the Subscriber Battle. Why Its Now Pressing the Mute Button and 5 Other Things to Know Today.,0.2023
134,GOOG,2024-10-18,05:59AM,Amazon and Alphabet: Pivotal Chooses the Best Magnificent 7 Stocks to Buy,0.8689
136,GOOG,2024-10-18,05:21AM,Billionaire Seth Klarman Sold 64% of Baupost's Stake in Alphabet and Is Piling Into This Historically Cheap and Under-the-Radar Drugmaker,0.0
137,GOOG,2024-10-18,05:00AM,The next winner of the AI boom is also one of its biggest problems,0.2732
138,GOOG,2024-10-18,05:00AM,"Nvidia stock nears a record, AI powers TSMC, and Big Tech goes nuclear: AI news roundup",0.0
139,GOOG,2024-10-18,04:02AM,"Meet the Unstoppable Growth Stock That Could Join Apple, Nvidia, and Microsoft in the $3 Trillion Club by 2028.",0.4588
140,GOOG,2024-10-18,02:00AM,Why Microsoft Stock Could Be a Better Bet Than Alphabet Ahead of Earnings,0.4404
141,GOOG,2024-10-18,12:43AM,Waymo Co-founder Says Tesla Has An Advantage In Race To Autonomous Driving: 'I'd Rather Be In Tesla's Shoes Than In Waymo's Shoes',0.25
142,GOOG,2024-10-17,07:26PM,Google replaces executive in charge of Search and advertising,0.0
143,GOOG,2024-10-17,06:14PM,"Google's NotebookLM now lets you guide AI-generated audio conversations, launches business pilot",0.0
144,GOOG,2024-10-17,06:06PM,"JCPenney's turnaround, housing affordability: Asking for a Trend",0.0
145,GOOG,2024-10-17,06:00PM,Google's NotebookLM AI can transform documents into podcasts,0.0
146,GOOG,2024-10-17,03:54PM,Google Shakes Up Search Leadership Amid Growing Challenges,0.25
147,GOOG,2024-10-17,03:22PM,Google Adds Gemini Team to DeepMind in AI Streamlining Push,0.0
148,GOOG,2024-10-17,03:22PM,Google Labs VP Josh Woodward on new AI podcast tool features,0.0
149,GOOG,2024-10-17,02:55PM,Google leadership shakeup: Prabhakar Raghavan assumes role of chief technologist,-0.1531
150,GOOG,2024-10-17,02:19PM,Tech firms remove social media accounts of a Russian drone factory after an AP investigation,0.0
151,GOOG,2024-10-17,02:08PM,Google shifts Gemini app team to DeepMind,0.0
152,GOOG,2024-10-17,02:04PM,"AAPL, MSFT, or GOOGL: Which Tech Company is the Better Buy this Earnings Season?",0.4404
153,GOOG,2024-10-17,01:12PM,"Amazon, Google Join Nuclear Power Push, Triggering Market Surge",0.4404
154,GOOG,2024-10-17,11:42AM,"Google and Apple's exclusive search engine deal could be on the DOJ's chopping block, analysts say",-0.34
155,GOOG,2024-10-17,10:34AM,"A key search deal between Apple and Google faces a big risk, analysts say",-0.2732
156,GOOG,2024-10-17,10:32AM,Google Flights adds a cheapest tab in a huge assist to bargain hunters everywhere,0.4767
157,GOOG,2024-10-17,09:54AM,First US auction of nature-based carbon credits scheduled for early 2025,0.3612
158,GOOG,2024-10-17,09:00AM,This Analyst Predicted AI Will Crush Alphabet (GOOG) Search Business  Was He Right?,-0.1531
159,GOOG,2024-10-17,08:21AM,Google restores crypto price charts after brief suspension,0.296
160,GOOG,2024-10-17,08:15AM,Alphabet Is Cheaper Than the S&P 500 Right Now. It's Time for Investors to Load Up.,0.0
161,GOOG,2024-10-17,07:25AM,Alphabet price target raised to $220 from $196 at Truist,0.0
162,GOOG,2024-10-17,07:00AM,Google overhauls Shopping platform with AI for more personalization,0.0
163,GOOG,2024-10-17,06:05AM,The AI stock surge signals investors will be patient for profit: Morning Brief,0.4404
164,GOOG,2024-10-17,03:51AM,Alphabet Inc. (GOOGL): Most Promising Future Stock According to Analysts,0.4576
165,GOOG,2024-10-16,09:45PM,"Author Alok Sama on OpenAI, Bubbles, and When to Sell",0.0
166,GOOG,2024-10-16,09:33PM,Power Demand from Data Centers Keeping Coal-Fired Plants Online,-0.128
167,GOOG,2024-10-16,09:07PM,Analyst delivers startling Apple warning amid Google antitrust case,-0.2732
168,GOOG,2024-10-16,07:17PM,Amazon takes surprising tactic to solve a growing problem,0.3818
169,GOOG,2024-10-16,06:53PM,"Election cybersecurity, AI in healthcare: Asking for a Trend",0.0
170,GOOG,2024-10-16,06:43PM,Kairos Power CEO expands upon nuclear commitment with Google,0.4588
171,GOOG,2024-10-16,06:11PM,These Mag 7 giants continue to invest even more in AI: Chart,0.0
172,GOOG,2024-10-16,05:31PM,"Justice Department will very likely kill Googles billion-dollar deal to be the default search engine on iPhones, Jefferies predicts",-0.3774
173,GOOG,2024-10-16,05:09PM,Amazon invests $500M to go nuclear after Microsoft and Google,0.1779
174,GOOG,2024-10-16,04:13PM,"Amazon Goes Nuclear, Sending IBD's Stock Of The Day Skyward",0.1779
175,GOOG,2024-10-16,03:45PM,Nvidia is set to dominate another Big Tech earnings season,-0.128
176,GOOG,2024-10-16,03:23PM,Jim Cramer on Alphabet Inc. (GOOGL): The Stocks A Comeback Kid And I Am So Glad We Own Some For The Charitable Trust,0.8516
177,GOOG,2024-10-16,03:18PM,NuScale Power and Oklo Surge 33% as Amazon and Google Go All-In on Nuclear Energy,0.4215
178,GOOG,2024-10-16,03:18PM,"Apple Faces Potential Google Income Loss Amid Antitrust Action, Says Jefferies",-0.3182
179,GOOG,2024-10-16,02:45PM,How to gain 'Magnificent Seven' exposure through ETFs,0.8074
180,GOOG,2024-10-16,02:40PM,"Amazon, Google tap into nuclear power to fuel data centers and AI push",0.1779
181,GOOG,2024-10-16,02:22PM,The Future of Cars and Search,0.0
182,GOOG,2024-10-16,02:17PM,"Why Cameco, Denison Mines, and Energy Fuels Stocks All Popped on Wednesday",0.2732
183,GOOG,2024-10-16,01:57PM,Amazon and Google Nuclear Deals Point to a Promising New Group of Stocks,0.5267
184,GOOG,2024-10-16,01:29PM,What's the Government Got Against Google?,0.0
185,GOOG,2024-10-16,12:07PM,"Amazon signs nuclear power deals, following Google, Microsoft",0.1779
186,GOOG,2024-10-16,12:05PM,Amazon is joining Google and Microsoft in going big on nuclear power,0.1779
187,GOOG,2024-10-16,11:49AM,Kairos Power CEO on nuclear power deal with Google,0.0
188,GOOG,2024-10-16,11:48AM,Amazon Adds to Big Tech's Nuclear Push,0.1779
189,GOOG,2024-10-16,11:21AM,Amazon Continues Push to Add More Nuclear Energy With 2 New Deals,0.4728
190,GOOG,2024-10-16,10:47AM,"Ken Griffin, Amazon Invest in Next-Generation Nuclear Energy",0.4215
191,GOOG,2024-10-16,09:36AM,Is Alphabet Inc. (GOOG) the Best Internet Content Stock to Buy?,0.6369
192,GOOG,2024-10-16,09:25AM,Is Alphabet Inc. (GOOGL) the Best High Growth NASDAQ Stock That is Profitable in 2024?,0.8658
193,GOOG,2024-10-16,09:19AM,Jim Cramer Says Alphabet (GOOG) Google Search is Most Incredible Bargain in the World,0.2682
194,GOOG,2024-10-16,08:49AM,"Amazon, Google make dueling nuclear investments to power data centers with clean energy",0.6705
195,GOOG,2024-10-16,07:31AM,Prediction: This Will Be Wall Street's First $5 Trillion Stock,0.0
196,GOOG,2024-10-16,06:45AM,The Best Robotaxi Stock to Buy Now (Hint: Not Tesla),0.6369
197,GOOG,2024-10-16,05:41AM,2 No-Brainer Artificial Intelligence (AI) Stocks to Buy With $600 Right Now,0.4767
198,GOOG,2024-10-16,05:30AM,Nvidia Will Dominate Big Techs Earnings Season Again,-0.128
199,GOOG,2024-10-16,04:47AM,Over 20% of Billionaire Bill Ackman's Portfolio Is Invested in This Artificial Intelligence (AI) Stock -- and Wall Street Thinks It Will Soar More Than 20%,0.4767
200,GOOG,2024-10-16,03:00AM,4 Internet Stocks to Buy Before Earnings,0.0
201,GOOG,2024-10-15,07:05PM,Googles Nuclear Deal Points to a Promising New Group of Stocks,0.4019
202,GOOG,2024-10-15,06:40PM,Trump Says He Wont Break Up Google,0.0
203,GOOG,2024-10-15,05:25PM,Trump Defends Tariff Plan While Pressing for More Fed Influence,0.0
204,GOOG,2024-10-15,04:13PM,Google signed a deal to power data centers with nuclear micro-reactors from Kairos  but the 2030 timeline is very optimistic,0.5251
205,GOOG,2024-10-15,03:08PM,Tesla Fails To Justify The Robotaxi Hype With Concrete Figures,-0.4215
206,AAPL,2024-10-19,08:36PM,2 Dividend Stocks to Double Up On Right Now,0.0
207,AAPL,2024-10-19,09:00AM,"A billionaire's Nvidia regrets, and Elon Musk's net worth takes a hit: Leadership news roundup",-0.1531
208,AAPL,2024-10-19,03:24AM,Should You Buy Apple Stock Before Oct. 31?,0.0
209,AAPL,2024-10-18,06:26PM,"Apple Intelligence will drive an upgrade cycle, but it won't happen until it's released: Gil Luria",0.2617
210,AAPL,2024-10-18,06:00PM,Why Apple will be first to $4T market cap,0.0
212,AAPL,2024-10-18,05:25PM,"Apple Discontinues Powerbeats Pro Ahead of Powerbeats Pro 2 Launch, Shares Rise 1.5%",0.296
213,AAPL,2024-10-18,05:24PM,"iPhone 16 Sales Surge 20% in China, Boosting Apple's AI-Driven Growth Outlook",0.6124
214,AAPL,2024-10-18,05:01PM,"Meet the Unstoppable Stock That Could Join Apple, Nvidia, Microsoft, Alphabet, Amazon, Meta, and Taiwan Semiconductor Manufacturing in the $1 Trillion Club by 2035",0.2732
215,AAPL,2024-10-18,04:36PM,"These Stocks Moved the Most Today: CVS, Netflix, Nvidia, Intuitive Surgical, Apple, American Express, and More",0.0
216,AAPL,2024-10-18,04:22PM,Apple Stock Rises On Upbeat iPhone Sales Report From China,0.0
217,AAPL,2024-10-18,04:14PM,"S&P 500, Dow climb to new records, extending win streaks",0.5859
218,AAPL,2024-10-18,04:08PM,"Trump praises Tim Cook, says Apple wouldnt be as big under Steve Jobs",0.5267
219,AAPL,2024-10-18,03:20PM,Judge delays order in antitrust case requiring Google to open up its app store,0.0
220,AAPL,2024-10-18,02:25PM,Apple's new iPhone sales jump in China,0.0
221,AAPL,2024-10-18,02:15PM,"These Stocks Are Moving the Most Today: CVS, Netflix, Nvidia, Intuitive Surgical, Apple, American Express, and More",0.0
223,AAPL,2024-10-18,01:30PM,"Stocks to Watch Friday: Netflix, Apple, CVS Health, Ally Financial",0.0
224,AAPL,2024-10-18,10:58AM,Apple iPhone 16 Sales Reportedly Off To Hot Start in China,0.0
225,AAPL,2024-10-18,10:46AM,"Apple Headset Stalls, Struggles to Attract Killer Apps in First Year",-0.6486
226,AAPL,2024-10-18,10:34AM,IPhone 16 Sales Soar 20% in China Debut as Demand Returns,-0.128
227,AAPL,2024-10-18,10:24AM,"iPhone 16 in China, Tesla probe, Intel-Altera: Stocks in Focus",0.0
228,AAPL,2024-10-18,10:24AM,Cramer's Mad Dash: Apple,-0.4939
229,AAPL,2024-10-18,10:23AM,"Apple Pay Turns 10 Years Old, Apple Pay and the Long Game",-0.2023
230,AAPL,2024-10-18,10:05AM,Apple Stock Gains. Heres Whats Driving Shares Higher.,0.5574
231,AAPL,2024-10-18,09:51AM,Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio?,0.0
232,AAPL,2024-10-18,08:24AM,Frasse: ARM is the architecture for Apple's M-series chips.,0.0
233,AAPL,2024-10-18,08:05AM,5 Things to Know Before the Stock Market Opens,0.0
234,AAPL,2024-10-18,05:45AM,What Is Warren Buffett's Favorite Stock to Buy Right Now (Other Than Berkshire Hathaway)?,0.4588
235,AAPL,2024-10-18,05:45AM,3 Leading Tech Stocks to Buy in 2024 and Beyond,0.0
236,AAPL,2024-10-18,04:02AM,"Meet the Unstoppable Growth Stock That Could Join Apple, Nvidia, and Microsoft in the $3 Trillion Club by 2028.",0.4588
237,AAPL,2024-10-18,03:39AM,"Apple's new iPhone sales in China jump 20% in first 3 weeks,  Counterpoint says",0.0
239,AAPL,2024-10-18,12:19AM,Built for Apple Intelligence: Four major upgrades in the new iPad mini,0.4767
240,AAPL,2024-10-17,11:30PM,"Apple, Huawei lose steam, paving the way for Android SoC market breakthrough",-0.4019
241,AAPL,2024-10-17,10:31PM,"Largan sees handset customers cut back orders, cautious about 4Q24 prospects",-0.0772
242,AAPL,2024-10-17,09:37PM,Mixed smartphone outlook for Apple and competitors,0.0
243,AAPL,2024-10-17,06:35PM,Is Apple Inc. (AAPL) the Most Promising Long-Term Stocks According to Hedge Funds?,0.4576
244,AAPL,2024-10-17,06:16PM,Trump says Apple CEO Cook called him with concerns about EU penalties,0.0
245,AAPL,2024-10-17,05:29PM,SEC X Accounts Alleged Hacker Arrested Over Fake Bitcoin ETF Post,-0.7351
246,AAPL,2024-10-17,04:52PM,"Apple has released the documentary trailer for 'Bread & Roses,' the fall of Kabul, and held the Premiere for the Thriller 'Before' in New York",0.1027
247,AAPL,2024-10-17,04:30PM,TSMC Shares Reach Record High After AI Boom Brightens Forecast,0.5859
248,AAPL,2024-10-17,03:33PM,Affirm stock tumbles on Klarna Apple Pay deal,-0.1027
249,AAPL,2024-10-17,03:27PM,Apple Introduces Business Caller ID to Enhance User Privacy and Block Spam,-0.6597
250,AAPL,2024-10-17,02:04PM,"AAPL, MSFT, or GOOGL: Which Tech Company is the Better Buy this Earnings Season?",0.4404
251,AAPL,2024-10-17,02:00PM,Donald Trump says Tim Cook is a better Apple CEO than Steve Jobs,0.4404
252,AAPL,2024-10-17,01:33PM,"Apple's 3nm Push Boosts Taiwan Semi's Q3, AI Revenue Set To Triple: Analyst",0.3182
253,AAPL,2024-10-17,01:28PM,Nvidia Stock Hits Another Record High as AI Chip Excitement Returns,0.4939
254,AAPL,2024-10-17,11:54AM,Chip stocks rally as TSMC forecasts strong AI demand for 'many years',0.4215
255,AAPL,2024-10-17,11:42AM,"Google and Apple's exclusive search engine deal could be on the DOJ's chopping block, analysts say",-0.34
256,AAPL,2024-10-17,11:19AM,It turns out Apple was in cahoots with BYD on its secretive electric car project,0.0
257,AAPL,2024-10-17,11:02AM,"Apple and BYD, Nestlé guidance, CSX revenue: Stocks in Focus",0.0
